# MEAN_SAMPLE_SIZE = 321
GENE_SET       NGENES           MU            P
R-HSA-191273        2     -0.27443      0.65103
R-HSA-452723        3      0.51836      0.18464
R-HSA-9013508       3    -0.046483      0.53208
R-HSA-8951664      22       1.0834   1.8711e-07
R-HSA-5578775      14      0.73976    0.0028207
R-HSA-936837       18      0.55655    0.0091506
R-HSA-198933       11     -0.48061      0.94453
R-HSA-202733       12     -0.10499      0.64196
R-HSA-5693568       4      0.25631      0.30411
R-HSA-912446        5      0.75637     0.045389
R-HSA-1445148       9       0.6502     0.025553
R-HSA-5620924       5       1.1981    0.0036926
R-HSA-6811434      11      0.36113      0.11551
R-HSA-983189        9      0.11481      0.36526
R-HSA-6811440      12      0.66129     0.010988
R-HSA-8856825      21      0.32503     0.068182
R-HSA-8856828      24      0.36897     0.035412
R-HSA-166016        2      0.84229      0.11679
R-HSA-177504        2      0.48577      0.24605
R-HSA-437239        6      0.61349     0.066454
R-HSA-5669034       2      -1.6358      0.98965
R-HSA-2672351      15      0.84336   0.00054594
R-HSA-204005       13     0.078931      0.38798
R-HSA-5658442       7      0.24723      0.25652
R-HSA-428890        4     0.099967      0.42077
R-HSA-9706369       2       2.0364    0.0019888
R-HSA-114608       13    -0.087895      0.62434
R-HSA-975957        7     -0.22345       0.7228
R-HSA-6784531       8     -0.18396      0.69848
R-HSA-1482788       5      0.93826     0.017952
R-HSA-1482798       3     -0.63037      0.86193
R-HSA-1482801       6      0.93602      0.01093
R-HSA-1482839       5      0.93826     0.017952
R-HSA-1482922       3      0.90005     0.059506
R-HSA-1482925       5      0.86576      0.02644
R-HSA-1483115       2       1.1471     0.052383
R-HSA-8876198      25     -0.39119      0.97474
R-HSA-2980767       2       1.3099     0.031975
R-HSA-3301854       7      0.11654      0.37891
R-HSA-210747        2    -0.097384      0.55477
R-HSA-4090294       8      0.18755      0.29789
R-HSA-351906        3        0.799     0.083193
R-HSA-6805567       3      0.19539      0.36889
R-HSA-418359        4       1.1986    0.0082601
R-HSA-447043        3       0.8403     0.072773
R-HSA-428543        5       0.2027      0.32518
R-HSA-8877330       3     0.029109      0.47989
R-HSA-399954        5      0.35531      0.21346
R-HSA-399955        7      0.60727     0.054063
R-HSA-399956        7      0.68807     0.034344
R-HSA-416700        5     -0.10627      0.59392
R-HSA-5358346       3      0.81301      0.07954
R-HSA-9008059       4       1.0301     0.019686
R-HSA-5694530       7     -0.05722      0.56017
R-HSA-376176        7      0.64835     0.043429
R-HSA-201681        9    -0.085966      0.60176
R-HSA-3238698       2     -0.13662      0.57661
R-HSA-373080        7      0.12787       0.3678
R-HSA-3772470       4     -0.36955      0.77008
R-HSA-913709       12     -0.18605      0.73938
R-HSA-75896         3      0.61989      0.14148
R-HSA-9033241       7     -0.11764      0.62219
R-HSA-1234176       6      0.58632     0.075475
R-HSA-399997        5     -0.36035      0.78981
R-HSA-9837999       6     -0.59638      0.92797
R-HSA-111447        2     -0.38061       0.7048
R-HSA-1358803       2     -0.82547      0.87847
R-HSA-198323        2     -0.54442      0.77933
R-HSA-199418        3     -0.92417      0.94528
R-HSA-8941332       3      0.78616      0.08665
R-HSA-8948751       5      0.34726      0.21873
R-HSA-9607240       6     -0.26061      0.73838
R-HSA-9634638       3      0.69053      0.11584
R-HSA-9755511       6      -0.1512      0.64444
R-HSA-9856649       9      0.46105      0.08331
R-HSA-9615933       4      -1.5272      0.99887
R-HSA-844456        2      0.65596      0.17679
R-HSA-9660826       3      0.44717      0.21931
R-HSA-9692916       3      0.42987      0.22827
R-HSA-9707564       6      0.47794      0.12086
R-HSA-9752946       9      0.76725     0.010928
R-HSA-2243919       4      0.24239      0.31404
R-HSA-8866654       2      0.49923      0.24009
R-HSA-427359        2     0.016305       0.4908
R-HSA-427413        6      0.84244      0.01953
R-HSA-5250924       4      0.68355     0.085798
R-HSA-73772         4      0.67916     0.087182
R-HSA-73863         4      0.67916     0.087182
R-HSA-77387         3      0.52176      0.18307
R-HSA-917977        2       0.7535       0.1433
R-HSA-75109         4      0.55054      0.13543
R-HSA-9841922      14      0.06447      0.40482
R-HSA-5689603       6       0.4429      0.13899
R-HSA-8873719      13     -0.06346      0.59048
R-HSA-77288         2     -0.28638      0.65726
R-HSA-77310         2     -0.28878      0.65851
R-HSA-77346         2     -0.28878      0.65851
R-HSA-77348         2     -0.28878      0.65851
R-HSA-77350         2     -0.28878      0.65851
R-HSA-5693571       4      0.80993      0.05263
R-HSA-5693607      11      0.85213    0.0023553
R-HSA-69473         8       1.1965    0.0003569
R-HSA-9700645       2      0.88532      0.10528
R-HSA-9725370       7      0.28137       0.2283
R-HSA-9851151       2       1.9293    0.0031814
R-HSA-9748787       6       1.0573    0.0048005
R-HSA-2129379      10      0.47397     0.066958
R-HSA-2173789       7      0.95089    0.0059379
R-HSA-9673766       3       1.3851    0.0082184
R-HSA-6799198       6      0.53082     0.096761
R-HSA-425561        4      0.79854     0.055124
R-HSA-2514859       5     0.099988      0.41154
R-HSA-8876725       2       1.8347    0.0047345
R-HSA-9821002       2      0.82076      0.12288
R-HSA-6794361      21       0.3819     0.040218
R-HSA-9662361      16      0.45741     0.033806
R-HSA-9703465       6      0.17629      0.33294
R-HSA-177929        5       1.1646    0.0046061
R-HSA-179812        3      0.83888     0.073113
R-HSA-180292        3       1.3117     0.011547
R-HSA-180336        3      0.83888     0.073113
R-HSA-182971        9      0.76971     0.010469
R-HSA-212718        2       1.7655    0.0062668
R-HSA-5638303       2       1.7655    0.0062668
R-HSA-8866910       3       1.3825    0.0083204
R-HSA-5223345       5      0.20358      0.32447
R-HSA-2028269       6     -0.78279      0.97241
R-HSA-525793        7      0.45862      0.11249
R-HSA-201722        9      0.26312      0.21495
R-HSA-3769402      11      0.20509      0.24819
