# MEAN_SAMPLE_SIZE = 321
# TOTAL_GENES = 3123
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
R-HSA-69205         SET       3      0.50074     0.015515      0.67189      0.22808
R-HSA-69656         SET       5      0.77119     0.030838      0.43714     0.038903
R-HSA-73762         SET       9      0.45058     0.024157      0.38765      0.12259
R-HSA-8953750       SET       6    -0.017004   -0.0007447      0.47418       0.5143
R-HSA-9609690       SET      11     -0.10402   -0.0061633      0.35133       0.6164
R-HSA-9679191       SET      11     -0.33035    -0.019575      0.35171      0.82617
R-HSA-9710421       SET       4     -0.67887    -0.024284      0.58161      0.87839
R-HSA-9843940       SET       9      0.31007     0.016624      0.38695      0.21151
R-HSA-9844594       SET       7     -0.13697   -0.0064783      0.43719      0.62296
R-HSA-9845323       SET       7    -0.097252   -0.0045998      0.44044      0.58737
R-HSA-1912408       SET       7     -0.66931    -0.031657      0.43962        0.936
R-HSA-203927        SET       4      -0.3909    -0.013983      0.58206      0.74905
R-HSA-2559585       SET       7      0.21645     0.010238      0.38638       0.2877
R-HSA-4086398       SET      21     -0.14358    -0.011736      0.25425      0.71385
R-HSA-426486        SET       2      -1.3848    -0.035039       0.8216        0.954
R-HSA-426496        SET       4       -1.069    -0.038241      0.58124      0.96701
R-HSA-5578749       SET       9     -0.37172     -0.01993      0.38806      0.83091
R-HSA-5687128       SET       8      -0.6952    -0.035146      0.38506      0.96445
R-HSA-8853884       SET       8     -0.42337    -0.021404      0.41091      0.84853
R-HSA-8934593       SET       7     -0.48778    -0.023071      0.43452      0.86915
R-HSA-8936459       SET       7      -0.7676    -0.036306      0.43464      0.96126
R-HSA-8943723       SET       4       -1.069    -0.038241      0.58124      0.96701
R-HSA-8948700       SET       4       -1.069    -0.038241      0.58124      0.96701
R-HSA-8986944       SET       5     -0.54544    -0.021811      0.52038      0.85267
R-HSA-9018519       SET      21      0.11607    0.0094873      0.25304      0.32324
R-HSA-9022692       SET       8    -0.034654    -0.001752      0.35155      0.53926
R-HSA-9029569       SET       6      -0.9213     -0.04035      0.47483      0.97378
R-HSA-9725371       SET       7      0.28952     0.013694      0.37659      0.22104
R-HSA-9759811       SET       4       -1.069    -0.038241      0.58124      0.96701
R-HSA-9768778       SET       4       -1.069    -0.038241      0.58124      0.96701
R-HSA-9824594       SET       5      -1.1734    -0.046921      0.52002      0.98794
R-HSA-9839394       SET       8      -0.7264    -0.036724      0.41153      0.96118
R-HSA-451308        SET       7    -0.067546   -0.0031948      0.44005      0.56099
R-HSA-500657        SET       6      0.43085      0.01887      0.47378      0.18161
R-HSA-6781823       SET       8      0.38577     0.019503      0.41042      0.17366
R-HSA-6781827       SET       8      0.53118     0.026854      0.40965      0.09742
R-HSA-6782135       SET      12      0.43532     0.026937      0.30214     0.074874
R-HSA-6782210       SET      11      0.48488     0.028731      0.31284     0.060633
R-HSA-212436        SET      37     -0.18832     -0.02038      0.19884      0.82817
R-HSA-8939902       SET       7      0.47715     0.022568      0.43398      0.13582
R-HSA-1295596       SET       3     -0.94526    -0.029288      0.66985      0.92085
R-HSA-499943        SET       7      0.48484     0.022932      0.43876      0.13462
R-HSA-8955332       SET       7     -0.77395    -0.036606      0.43952      0.96082
R-HSA-432142        SET       6     -0.50243    -0.022005      0.50739      0.83893
R-HSA-77289         SET       4     0.072096     0.002579      0.58211      0.45072
R-HSA-381426        SET      16    -0.058058   -0.0041456      0.29074      0.57913
R-HSA-8957275       SET      16    -0.058058   -0.0041456      0.29074      0.57913
R-HSA-8964038       SET       3      -1.1506     -0.03565      0.67078       0.9568
