# MEAN_SAMPLE_SIZE = 321
# TOTAL_GENES = 3123
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
R-HSA-438066        SET      10      0.17318    0.0097854       0.3231        0.296
R-HSA-442982        SET       8      0.23451     0.011856      0.35136      0.25227
R-HSA-447038        SET       2      0.43455     0.010995      0.82256      0.29867
R-HSA-8849932       SET      10    -0.048444   -0.0027373      0.36626      0.55261
R-HSA-9609736       SET       7      0.26935      0.01274      0.36859      0.23249
R-HSA-9617324       SET       7      0.26935      0.01274      0.36859      0.23249
R-HSA-2024101       SET       2      0.53677     0.013581      0.81885      0.25609
R-HSA-3899300       SET       2     -0.18586   -0.0047026      0.82168      0.58947
R-HSA-5339700       SET       2     -0.88261    -0.022332      0.82132      0.85869
R-HSA-5635838       SET       7     0.092724    0.0043857      0.44109      0.41676
R-HSA-418885        SET       6     -0.46112    -0.020195      0.47549      0.83388
R-HSA-5620912       SET      15     -0.11602   -0.0080227      0.30126      0.64991
R-HSA-2514853       SET       3     -0.99374     -0.03079      0.67256      0.93018
R-HSA-71336         SET       2      0.44017     0.011137      0.82109      0.29597
R-HSA-109704        SET       5     -0.23897   -0.0095557      0.52045      0.67692
R-HSA-5654712       SET       3      -1.1328    -0.035097      0.67121      0.95421
R-HSA-5654719       SET       2      -1.7774    -0.044973       0.8217       0.9847
R-HSA-5654720       SET       2      -1.0275    -0.025997      0.82153      0.89442
R-HSA-5654733       SET       2      -1.0275    -0.025997      0.82153      0.89442
R-HSA-936440        SET       5     -0.25249    -0.010096      0.52041       0.6862
R-HSA-2468052       SET       3     -0.42526    -0.013176      0.67111      0.73683
R-HSA-2470946       SET       2     -0.24615   -0.0062283      0.82125       0.6178
R-HSA-9667769       SET       3      -0.8791    -0.027238       0.6713      0.90478
R-HSA-977443        SET       6      0.44992     0.019705      0.48351      0.17608
R-HSA-2565942       SET       9     -0.21808    -0.011692      0.38895      0.71247
R-HSA-380259        SET       8     -0.16649   -0.0084169       0.4126       0.6567
R-HSA-380284        SET       8     -0.16649   -0.0084169       0.4126       0.6567
R-HSA-380320        SET       9      0.13835    0.0074173      0.38905      0.36108
R-HSA-8854518       SET       8     -0.16649   -0.0084169       0.4126       0.6567
R-HSA-9031628       SET       4     -0.38618    -0.013814      0.58192      0.74651
R-HSA-389397        SET       2      -0.7518    -0.019022      0.82158      0.81989
R-HSA-429947        SET       2      0.89486     0.022642      0.82239      0.13832
R-HSA-6804115       SET       2      0.89486     0.022642      0.82239      0.13832
R-HSA-9820841       SET       2      0.89486     0.022642      0.82239      0.13832
R-HSA-5210891       SET       2     -0.47603    -0.012045      0.81195      0.72113
R-HSA-5654693       SET       2     -0.59175    -0.014973      0.82286      0.76394
R-HSA-5654695       SET       2     -0.11832   -0.0029938      0.82314      0.55714
R-HSA-5654699       SET       2     -0.86957    -0.022002      0.82359      0.85443
R-HSA-5654700       SET       3     -0.52656    -0.016315      0.67224      0.78324
R-HSA-5654706       SET       2     -0.59175    -0.014973      0.82286      0.76394
R-HSA-5654727       SET       2     -0.11832   -0.0029938      0.82314      0.55714
R-HSA-5655253       SET       2     -0.86957    -0.022002      0.82359      0.85443
R-HSA-5655302       SET       4      0.14126    0.0050532       0.5836      0.40438
R-HSA-5696394       SET       3     -0.14656    -0.004541      0.66855      0.58675
R-HSA-1483226       SET       2      0.18587    0.0047028       0.8235      0.41072
R-HSA-189451        SET       2     0.065795    0.0016648      0.82365      0.46817
R-HSA-189483        SET       3      0.26556    0.0082281      0.67174      0.34631
R-HSA-917937        SET       2     -0.53599    -0.013562      0.82223      0.74274
R-HSA-9818032       SET       2       0.5269     0.013332       0.8219      0.26076
R-HSA-418886        SET       4     -0.47269    -0.016909      0.58135      0.79188
R-HSA-77352         SET       2     0.066292    0.0016773        1.042      0.47464
R-HSA-9733709       SET       5     -0.20191   -0.0080737      0.51897      0.65137
R-HSA-9754189       SET       3      0.23739    0.0073552      0.67188      0.36194
R-HSA-9793380       SET       2       1.0218     0.025853      0.82316       0.1073
R-HSA-9796292       SET       5      0.28831     0.011529      0.52088      0.28998
R-HSA-111932        SET       2      0.28292    0.0071586      0.52207      0.29395
R-HSA-5673000       SET       6    -0.072866   -0.0031913       0.4057      0.57126
R-HSA-6802946       SET      11      0.38805     0.022993      0.31166       0.1066
R-HSA-6802955       SET      11      0.38805     0.022993      0.31166       0.1066
R-HSA-9649948       SET      11      0.38805     0.022993      0.31166       0.1066
R-HSA-9656223       SET      11      0.38805     0.022993      0.31166       0.1066
R-HSA-1655829       SET       2     -0.51675    -0.013075      0.82355       0.7348
R-HSA-983170        SET       3     -0.77117    -0.023894      0.67177      0.87446
R-HSA-5620922       SET       5     -0.12678   -0.0050694      0.51975      0.59634
R-HSA-8939245       SET       3      0.10869    0.0033676      0.65448      0.43406
R-HSA-210744        SET       2      0.61637     0.015596      0.82363      0.22715
R-HSA-166058        SET       3      0.05232    0.0016211      0.66965      0.46886
R-HSA-5602498       SET       2      0.11924    0.0030169      0.81812      0.44207
R-HSA-5603041       SET       2      0.11924    0.0030169      0.81812      0.44207
R-HSA-5686938       SET       2      0.11924    0.0030169      0.81812      0.44207
R-HSA-354192        SET       3       0.3872     0.011997      0.67148      0.28211
R-HSA-354194        SET       2     0.012028   0.00030434      0.82303      0.49417
R-HSA-372708        SET       3     0.097658    0.0030258      0.66462       0.4416
R-HSA-5674135       SET       9      0.44586     0.023904      0.38835      0.12551
R-HSA-6802948       SET       9      0.44586     0.023904      0.38835      0.12551
R-HSA-2453902       SET       2     -0.28515    -0.007215      0.82347      0.63542
R-HSA-399710        SET       3     -0.14519   -0.0044985      0.66998      0.58577
R-HSA-9022699       SET       4      0.33973     0.012153        0.582      0.27972
R-HSA-1592389       SET       2       -1.034    -0.026163      0.82315      0.89542
R-HSA-75105         SET       3     -0.38041    -0.011787      0.67115      0.71456
R-HSA-9861718       SET       3     -0.60185    -0.018648      0.67201      0.81473
R-HSA-112314        SET       3      0.14942    0.0046295      0.64995       0.4091
R-HSA-2046105       SET       3     -0.42005    -0.013015      0.67276      0.73378
R-HSA-2046106       SET       3     -0.42005    -0.013015      0.67276      0.73378
R-HSA-426117        SET       3      -1.4213    -0.044038      0.77587      0.96647
R-HSA-352230        SET       4       1.1122     0.039784      0.58063     0.027763
R-HSA-442660        SET       2      -1.0273    -0.025993      0.76733      0.90963
R-HSA-163615        SET       2      -1.3626    -0.034477       0.8197      0.95172
R-HSA-164378        SET       2      -1.3626    -0.034477       0.8197      0.95172
R-HSA-170660        SET       2      -1.3626    -0.034477       0.8197      0.95172
R-HSA-170670        SET       3    -0.050518   -0.0015652      0.67052      0.53003
R-HSA-156581        SET       2      0.87481     0.022135      0.82139      0.14347
R-HSA-2029482       SET      10      0.30296     0.017119      0.36839      0.20546
R-HSA-9664422       SET      11      0.36004     0.021334      0.35127      0.15273
R-HSA-5662702       SET       2     -0.26739   -0.0067656      0.82033      0.62776
R-HSA-389661        SET       3     0.048565    0.0015047      0.67267      0.47122
R-HSA-8939247       SET       2       0.9194     0.023263      0.78938      0.12211
R-HSA-75892         SET       3      0.28973    0.0089769      0.67116        0.333
R-HSA-76061         SET       3      0.34924     0.010821      0.67042      0.30123
R-HSA-76066         SET       3      0.34924     0.010821      0.67042      0.30123
R-HSA-76071         SET       3    -0.015137  -0.00046901       0.6704      0.50901
R-HSA-975578        SET       3     -0.14437   -0.0044732      0.66969      0.58534
R-HSA-2022870       SET       4     -0.45757    -0.016368      0.56553      0.79074
R-HSA-418890        SET       4     -0.66024    -0.023618      0.57641      0.87394
R-HSA-5689896       SET       6     -0.35226    -0.015428      0.47536      0.77064
R-HSA-2691232       SET       3      0.75754     0.023471      0.67048      0.12931
R-HSA-70171         SET       3     -0.11798   -0.0036555      0.47557      0.59796
R-HSA-195399        SET       2      -1.4991    -0.037931      0.82317      0.96566
R-HSA-379726        SET       2     -0.31616   -0.0079996      0.81414       0.6511
R-HSA-8854214       SET       4     0.015947   0.00057044      0.58159      0.48906
R-HSA-390471        SET       5      0.12394    0.0049561      0.51944      0.40571
R-HSA-6782315       SET       3      0.19962    0.0061849      0.67068        0.383
R-HSA-916853        SET       2     -0.83073    -0.021019      0.82331      0.84348
R-HSA-381753        SET       3     -0.60959    -0.018887      0.67252      0.81761
R-HSA-9609523       SET       2      0.81553     0.020635      0.82317      0.16095
R-HSA-2559582       SET       4     0.027524   0.00098456      0.57987      0.48107
R-HSA-6804760       SET       2      0.52983     0.013406      0.81752      0.25848
R-HSA-174577        SET       2      -1.0453    -0.026448      0.75469      0.91693
R-HSA-6790901       SET       2      0.64925     0.016427      0.82305      0.21514
R-HSA-200425        SET       6     0.044631    0.0019547      0.47494      0.46257
R-HSA-163685        SET       2      -1.3783    -0.034874       1.0329       0.9089
R-HSA-163767        SET       2      -1.3783    -0.034874       1.0329       0.9089
R-HSA-198753        SET       4     -0.82894    -0.029652      0.64391      0.90096
R-HSA-202670        SET       3     -0.48007    -0.014874      0.77309      0.73267
R-HSA-5675221       SET       6     -0.70934    -0.031067      0.50707      0.91903
R-HSA-9634600       SET       2      -1.3783    -0.034874       1.0329       0.9089
R-HSA-9758881       SET       2      0.51874     0.013125      0.82343      0.26438
R-HSA-181430        SET       6     -0.38298    -0.016773      0.47465       0.7901
R-HSA-210500        SET       8     -0.34728    -0.017557      0.41134       0.8007
R-HSA-264642        SET       6     -0.38298    -0.016773      0.47465       0.7901
R-HSA-888590        SET       3     0.090281    0.0027973      0.67259      0.44662
R-HSA-70268         SET       2     -0.71517    -0.018095      0.82329      0.80745
R-HSA-450321        SET       2      0.56237     0.014229      0.81163      0.24421
R-HSA-5357956       SET       3    -0.020829  -0.00064536      0.67243      0.51235
R-HSA-112126        SET       2       -1.496    -0.037851      0.81516      0.96671
R-HSA-451307        SET       2     -0.22073   -0.0055849      0.82287      0.60573
R-HSA-5205685       SET       3      0.46142     0.014297      0.67018      0.24559
R-HSA-2142789       SET       2      0.60147     0.015219      0.82331      0.23255
R-HSA-351202        SET       2    -0.098261   -0.0024862      0.81812       0.5478
R-HSA-2730905       SET       2      -1.0119    -0.025604      0.82265      0.89062
R-HSA-5621480       SET       2      0.54228     0.013721      0.82323      0.25506
R-HSA-5621575       SET       4     -0.17521   -0.0062676       0.5801      0.61868
R-HSA-9032500       SET       3     0.036578    0.0011333      0.67144      0.47828
R-HSA-9615017       SET       6     -0.11204   -0.0049068       0.3888      0.61338
R-HSA-2022923       SET       2      -1.5224     -0.03852       0.6503      0.99035
R-HSA-8931987       SET       3      0.35067     0.010865      0.65376      0.29586
R-HSA-8939256       SET       3      0.35067     0.010865      0.65376      0.29586
R-HSA-3299685       SET       2      0.12183    0.0030826      0.82033      0.44097
R-HSA-8950505       SET       3     -0.49028    -0.015191      0.66328      0.77007
R-HSA-199920        SET       2     -0.47941     -0.01213      0.82333      0.71979
R-HSA-1839117       SET       4     -0.26226   -0.0093813      0.58195      0.67386
R-HSA-72649         SET       4       1.0942     0.039141      0.57113      0.02774
R-HSA-72695         SET       4       1.0942     0.039141      0.57113      0.02774
R-HSA-72702         SET       4       1.0942     0.039141      0.57113      0.02774
R-HSA-373756        SET       2      0.43668     0.011049      0.81691       0.2965
R-HSA-5663213       SET       5     0.052119    0.0020841      0.52082      0.46015
R-HSA-174437        SET       3      0.59659     0.018485       0.4819       0.1079
R-HSA-3371511       SET       2      0.66314     0.016779      0.52937      0.10521
R-HSA-5358565       SET       2      0.66314     0.016779      0.52937      0.10521
R-HSA-5358606       SET       2      0.66314     0.016779      0.52937      0.10521
R-HSA-68962         SET       3      0.36536      0.01132      0.48204      0.22427
R-HSA-69166         SET       3      0.36536      0.01132      0.48204      0.22427
R-HSA-211976        SET       3     0.050006    0.0015494      0.67261      0.47037
R-HSA-8849471       SET       4     -0.14972   -0.0053556      0.57725      0.60231
R-HSA-74713         SET       2     -0.77186     -0.01953      0.82187      0.82614
R-HSA-74749         SET       2     -0.77186     -0.01953      0.82187      0.82614
R-HSA-74751         SET       3     -0.96213     -0.02981      0.67143      0.92401
R-HSA-9648895       SET       4     -0.58508    -0.020929      0.57558      0.84526
R-HSA-1236382       SET       2      0.19805    0.0050111      0.82373      0.40501
R-HSA-2179392       SET       3      -0.1058    -0.003278      0.67257      0.56249
R-HSA-5637810       SET       2      0.19805    0.0050111      0.82373      0.40501
R-HSA-9665348       SET       2      0.19805    0.0050111      0.82373      0.40501
R-HSA-69231         SET       5      0.72923      0.02916      0.43736     0.047777
R-HSA-9661069       SET       2       1.1226     0.028405      0.57698     0.025889
R-HSA-9754706       SET       2      0.27656    0.0069975      0.82374      0.36855
R-HSA-1268020       SET       4       1.2672     0.045328      0.58152     0.014702
R-HSA-8949664       SET       3       1.2735     0.039458      0.66514     0.027816
R-HSA-9768919       SET       4      0.71239     0.025483      0.58172      0.11041
R-HSA-171319        SET       2    -0.074969   -0.0018969      0.82316      0.53628
R-HSA-174414        SET       2       1.1687     0.029571      0.82319     0.077895
R-HSA-174430        SET       2     -0.40051    -0.010134      0.82352      0.68662
R-HSA-5620916       SET       4      0.92384     0.033047      0.58116     0.056008
R-HSA-3214842       SET       8      0.52834     0.026711      0.41104     0.099383
R-HSA-2151209       SET       2       1.0401     0.026317       0.8228      0.10314
R-HSA-9613354       SET       2       1.0401     0.026317       0.8228      0.10314
R-HSA-9619483       SET       3      0.76258     0.023628      0.67199      0.12827
R-HSA-2299718       SET       3      0.91194     0.028255      0.49633     0.033127
R-HSA-400511        SET       3      0.33522     0.010387      0.66804      0.30792
R-HSA-9690406       SET       4     -0.31102    -0.011126      0.57803      0.70472
R-HSA-9823730       SET       6      0.28283     0.012387      0.47154      0.27434
R-HSA-8949215       SET       2       1.0313     0.026094      0.81063       0.1017
R-HSA-5683826       SET       3      0.71988     0.022305      0.67216      0.14213
R-HSA-8963889       SET       4     -0.51172    -0.018305      0.58255      0.81011
R-HSA-69273         SET       4      0.39162     0.014009      0.58118      0.25023
R-HSA-390696        SET       2      0.30146    0.0076276      0.81733      0.35614
R-HSA-391160        SET       2     -0.70975    -0.017958      0.82152      0.80616
R-HSA-6803157       SET       3     -0.54867       -0.017      0.67215       0.7928
R-HSA-113501        SET       3      0.40234     0.012466      0.51658      0.21807
R-HSA-2465910       SET       2      -1.3623    -0.034468      0.81789      0.95205
R-HSA-5626978       SET       2      0.35202    0.0089069      0.80133      0.33024
R-HSA-192105        SET       4      0.14816    0.0052999       0.5826      0.39964
R-HSA-193807        SET       4      0.10782    0.0038568       0.5826       0.4266
R-HSA-5625886       SET       3      0.79734     0.024705      0.63112      0.10328
R-HSA-9603798       SET       2      0.98344     0.024883      0.82343      0.11622
R-HSA-5576886       SET       3       1.4829     0.045945      0.66989     0.013464
R-HSA-9673768       SET       2      0.97088     0.024565      0.81882      0.11791
R-HSA-432720        SET       2    0.0011938   3.0205e-05      0.82332      0.49942
R-HSA-1237112       SET       2      0.23588    0.0059683      0.82363       0.3873
R-HSA-168928        SET       3     -0.48564    -0.015047      0.67233      0.76492
R-HSA-918233        SET       3     -0.48564    -0.015047      0.67233      0.76492
R-HSA-933541        SET       3     -0.48564    -0.015047      0.67233      0.76492
R-HSA-933542        SET       2     -0.90103    -0.022798      0.82299      0.86316
R-HSA-174490        SET       2     -0.65523    -0.016579       0.7937      0.79544
R-HSA-9648002       SET       4     -0.57893    -0.020709       0.5822      0.83994
R-HSA-167060        SET       2     -0.66819    -0.016907      0.82363      0.79136
R-HSA-434316        SET       3     -0.25697    -0.007962      0.67219      0.64886
R-HSA-9026519       SET       2     -0.58041    -0.014686      0.82346      0.75952
R-HSA-9028731       SET       3     -0.33403     -0.01035      0.67216      0.69037
R-HSA-9032845       SET       2      0.27981    0.0070798      0.82352      0.36703
R-HSA-167044        SET       2      -1.1523    -0.029156      0.82295      0.91923
R-HSA-5632681       SET       2      0.71963     0.018208      0.82371      0.19119
R-HSA-2871796       SET       3     -0.49774    -0.015422      0.66557      0.77269
R-HSA-9029558       SET       2     -0.38619   -0.0097714      0.82352      0.68043
R-HSA-446388        SET       3     -0.76645    -0.023748      0.67196      0.87294
R-HSA-196791        SET       3     0.073251    0.0022696      0.67204      0.45661
R-HSA-8964011       SET       2     -0.04647   -0.0011758      0.82331       0.5225
R-HSA-194306        SET       2     -0.44387    -0.011231      0.82287      0.70518
R-HSA-2142691       SET       3    -0.058696   -0.0018186      0.67137      0.53483
R-HSA-9018896       SET       2     -0.17019   -0.0043063      0.82318      0.58189
R-HSA-9023661       SET       2     -0.17019   -0.0043063      0.82318      0.58189
R-HSA-9026286       SET       2     -0.17019   -0.0043063      0.82318      0.58189
R-HSA-392517        SET       3      0.56462     0.017494      0.67025      0.19981
R-HSA-446205        SET       2      -1.6329    -0.041316      0.81662      0.97718
R-HSA-381771        SET       2        0.144    0.0036436      0.82316      0.43057
R-HSA-1855183       SET       2     -0.91917    -0.023257      0.82333      0.86783
R-HSA-9733458       SET       3      0.41985     0.013009       0.6693      0.26526
R-HSA-9831926       SET       2     0.045939    0.0011624      0.81581      0.47755
R-HSA-425393        SET       3     -0.55368    -0.017155      0.67179      0.79505
R-HSA-5627123       SET       3     -0.96917    -0.030029      0.67207      0.92531
R-HSA-9645135       SET       3      0.47248     0.014639      0.67167      0.24092
R-HSA-9702518       SET       5      0.37364     0.014941       0.5204      0.23641
R-HSA-9703648       SET       4      0.01923   0.00068787      0.58199      0.48682
R-HSA-5676594       SET       3     -0.78293    -0.024258      0.67268      0.87772
R-HSA-376172        SET       3     -0.61293    -0.018991      0.67167      0.81922
R-HSA-420597        SET       2    -0.075889   -0.0019202      0.82368       0.5367
R-HSA-1169092       SET       2     -0.10102   -0.0025561       0.8222      0.54889
R-HSA-2428933       SET       2      0.63462     0.016057      0.82342      0.22047
R-HSA-6802953       SET       3     -0.38673    -0.011982      0.58719       0.7449
R-HSA-5625970       SET       3       1.0377     0.032151      0.67203     0.061335
R-HSA-5625740       SET       2      -1.7827    -0.045105      0.82248      0.98486
R-HSA-5625900       SET       4     -0.20759   -0.0074256      0.58225      0.63926
R-HSA-5627117       SET       3      -1.0776    -0.033388       0.6721      0.94552
R-HSA-163765        SET       2      0.32979    0.0083445      0.82095      0.34396
R-HSA-196780        SET       4      0.17436    0.0062371      0.57522      0.38091
R-HSA-936964        SET       2      0.25212    0.0063791      0.82306      0.37969
R-HSA-427975        SET       2       1.0909     0.027603      0.82256     0.092425
R-HSA-901032        SET       2      0.87126     0.022045      0.82149      0.14448
R-HSA-3371599       SET       3    -0.077364    -0.002397       0.6613      0.54656
R-HSA-9705677       SET       2       0.1841    0.0046582      0.82356      0.41156
R-HSA-5693554       SET       2       1.3144     0.033258      0.82014     0.054552
R-HSA-5693579       SET       2       1.3144     0.033258      0.82014     0.054552
R-HSA-9701192       SET       2       1.3144     0.033258      0.82014     0.054552
R-HSA-9704331       SET       2       1.3144     0.033258      0.82014     0.054552
R-HSA-9704646       SET       2       1.3144     0.033258      0.82014     0.054552
R-HSA-9709603       SET       2       1.3144     0.033258      0.82014     0.054552
R-HSA-2660826       SET       2      0.64826     0.016402      0.82223      0.21526
R-HSA-8935964       SET       2      0.56851     0.014385      0.79104      0.23619
R-HSA-9627069       SET       2      0.64875     0.016415      0.82233      0.21511
R-HSA-1181150       SET       4      0.10585    0.0037864      0.64554      0.43488
R-HSA-1502540       SET       2      0.32531     0.008231      0.82268      0.34628
R-HSA-2173788       SET       3      0.26157    0.0081046      0.67214      0.34859
R-HSA-3304356       SET       2      0.32531     0.008231      0.82268      0.34628
R-HSA-3311021       SET       2      0.32531     0.008231      0.82268      0.34628
R-HSA-3315487       SET       2      0.32531     0.008231      0.82268      0.34628
R-HSA-3656532       SET       2      0.32531     0.008231      0.82268      0.34628
R-HSA-8866904       SET       2    -0.083263   -0.0021067      0.82175      0.54035
R-HSA-9022707       SET       2       1.1954     0.030246      0.81519     0.071321
R-HSA-114516        SET       2     -0.58638    -0.014837      0.82343      0.76178
R-HSA-5099900       SET       3      -0.5812    -0.018008      0.67183      0.80647
R-HSA-76005         SET       2     -0.58638    -0.014837      0.82343      0.76178
R-HSA-8939246       SET       2      0.23085    0.0058411      0.79098      0.38521
R-HSA-1660514       SET       2     -0.65184    -0.016493      0.82387      0.78555
R-HSA-1660516       SET       2     -0.55197    -0.013966      0.82317      0.74872
R-HSA-1660517       SET       2     -0.55197    -0.013966      0.82317      0.74872
R-HSA-844455        SET       2     0.072024    0.0018224      0.82119      0.46506
R-HSA-111453        SET       2     -0.00158  -3.9978e-05      0.82257      0.50077
R-HSA-1606341       SET       2     -0.56673    -0.014339      0.82218      0.75465
R-HSA-3134975       SET       2     -0.56673    -0.014339      0.82218      0.75465
R-HSA-3270619       SET       2     -0.56673    -0.014339      0.82218      0.75465
